# Time	Values[Relative_Saturation]	
0	0	
0.025	0.0417719	
0.05	0.07913	
0.075	0.11362	
0.1	0.146223	
0.125	0.177549	
0.15	0.207962	
0.175	0.237665	
0.2	0.266757	
0.225	0.295276	
0.25	0.323218	
0.275	0.350559	
0.3	0.377266	
0.325	0.403302	
0.35	0.428631	
0.375	0.453223	
0.4	0.477051	
0.425	0.500098	
0.45	0.522351	
0.475	0.543801	
0.5	0.564448	
0.525	0.584296	
0.55	0.603352	
0.575	0.621627	
0.6	0.639136	
0.625	0.655896	
0.65	0.671926	
0.675	0.687247	
0.7	0.70188	
0.725	0.715848	
0.75	0.729173	
0.775	0.741881	
0.8	0.753993	
0.825	0.765533	
0.85	0.776526	
0.875	0.786992	
0.9	0.796956	
0.925	0.806438	
0.95	0.815459	
0.975	0.824042	
1	0.832205	
1.025	0.839967	
1.05	0.847348	
1.075	0.854365	
1.1	0.861035	
1.125	0.867376	
1.15	0.873401	
1.175	0.879128	
1.2	0.88457	
1.225	0.88974	
1.25	0.894653	
1.275	0.899321	
1.3	0.903756	
1.325	0.907969	
1.35	0.911971	
1.375	0.915773	
1.4	0.919384	
1.425	0.922815	
1.45	0.926074	
1.475	0.929169	
1.5	0.932109	
1.525	0.934901	
1.55	0.937553	
1.575	0.940072	
1.6	0.942464	
1.625	0.944737	
1.65	0.946895	
1.675	0.948944	
1.7	0.950891	
1.725	0.95274	
1.75	0.954496	
1.775	0.956163	
1.8	0.957747	
1.825	0.959251	
1.85	0.960679	
1.875	0.962036	
1.9	0.963324	
1.925	0.964548	
1.95	0.96571	
1.975	0.966813	
2	0.967861	
2.025	0.968857	
2.05	0.969802	
2.075	0.970699	
2.1	0.971552	
2.125	0.972361	
2.15	0.97313	
2.175	0.973861	
2.2	0.974554	
2.225	0.975213	
2.25	0.975838	
2.275	0.976432	
2.3	0.976996	
2.325	0.977532	
2.35	0.97804	
2.375	0.978523	
2.4	0.978982	
2.425	0.979418	
2.45	0.979832	
2.475	0.980225	
2.5	0.980598	
2.525	0.980952	
2.55	0.981289	
2.575	0.981608	
2.6	0.981912	
2.625	0.9822	
2.65	0.982474	
2.675	0.982734	
2.7	0.982981	
2.725	0.983215	
2.75	0.983438	
2.775	0.98365	
2.8	0.98385	
2.825	0.984041	
2.85	0.984222	
2.875	0.984394	
2.9	0.984558	
2.925	0.984713	
2.95	0.98486	
2.975	0.985	
3	0.985133	
3.025	0.985259	
3.05	0.985379	
3.075	0.985493	
3.1	0.985601	
3.125	0.985703	
3.15	0.985801	
3.175	0.985894	
3.2	0.985981	
3.225	0.986065	
3.25	0.986144	
3.275	0.98622	
3.3	0.986291	
3.325	0.986359	
3.35	0.986423	
3.375	0.986485	
3.4	0.986543	
3.425	0.986598	
3.45	0.986651	
3.475	0.9867	
3.5	0.986748	
3.525	0.986793	
3.55	0.986835	
3.575	0.986876	
3.6	0.986914	
3.625	0.986951	
3.65	0.986986	
3.675	0.987018	
3.7	0.98705	
3.725	0.987079	
3.75	0.987108	
3.775	0.987135	
3.8	0.98716	
3.825	0.987184	
3.85	0.987207	
3.875	0.987229	
3.9	0.98725	
3.925	0.987269	
3.95	0.987288	
3.975	0.987306	
4	0.987323	
4.025	0.987339	
4.05	0.987354	
4.075	0.987368	
4.1	0.987382	
4.125	0.987395	
4.15	0.987407	
4.175	0.987419	
4.2	0.98743	
4.225	0.987441	
4.25	0.987451	
4.275	0.98746	
4.3	0.987469	
4.325	0.987478	
4.35	0.987486	
4.375	0.987494	
4.4	0.987501	
4.425	0.987508	
4.45	0.987515	
4.475	0.987521	
4.5	0.987527	
4.525	0.987533	
4.55	0.987538	
4.575	0.987544	
4.6	0.987548	
4.625	0.987553	
4.65	0.987557	
4.675	0.987562	
4.7	0.987566	
4.725	0.987569	
4.75	0.987573	
4.775	0.987576	
4.8	0.98758	
4.825	0.987583	
4.85	0.987586	
4.875	0.987588	
4.9	0.987591	
4.925	0.987593	
4.95	0.987596	
4.975	0.987598	
5	0.9876	
