# Time	[Hb]	[HbO2]	[HbO22]	[HbO23]	[HbO24]	
0	2300	0	0	0	0	
0.0416667	1766.54	457.961	68.0687	6.87623	0.552871	
0.0833333	1433.92	636.212	185.487	37.8178	6.55991	
0.125	1209.26	686.751	290.188	88.879	24.9224	
0.166667	1046.06	679.894	365.728	148.531	59.785	
0.208333	920.233	648.27	412.537	206.976	111.983	
0.25	818.716	607.046	436.14	258.114	179.984	
0.291667	734.067	563.251	442.644	299.074	260.963	
0.333333	661.795	520.101	437.259	329.213	351.633	
0.375	599.031	479.01	424	349.198	448.761	
0.416667	543.846	440.54	405.804	360.352	549.458	
0.458333	494.875	404.845	384.753	364.229	651.297	
0.5	451.117	371.886	362.295	362.361	752.341	
0.541667	411.805	341.538	339.414	356.137	851.106	
0.583333	376.341	313.638	316.767	346.747	946.506	
0.625	344.243	288.014	294.785	335.17	1037.79	
0.666667	315.117	264.492	273.732	322.191	1124.47	
0.708333	288.631	242.906	253.768	308.422	1206.27	
